Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Brunei Darussalam,71.22468055,71.65788334,72.10215565,72.57763565,73.06750673,73.55287086,74.01482999,74.4344861,74.79294114,75.07129709,75.2506559,75.3121255,75.27142335,75.17569151,75.05726398,74.94846206,74.88160706,74.84764407,74.81724717,74.79233118,74.77481089,74.76673169,74.7772642,74.81991939,74.89831339,
Bhutan,27.59152399,28.28250183,28.9630875,29.63286087,30.29140182,30.93799178,31.56649459,32.17382166,32.76371955,33.3396805,33.90519678,34.46376067,35.01886442,35.57400032,36.13266061,36.69833757,37.27452346,37.8645545,38.46618928,39.07468234,39.68888399,40.30751999,40.93651436,41.7352458,42.56452498,
Botswana,53.20477274,54.04898944,55.01429886,56.09792335,57.25824893,58.45355547,59.64212281,60.78223083,61.83215937,62.7501883,63.49459747,64.01878107,64.39932478,64.75797355,65.09651224,65.41035843,65.69492969,65.94564357,66.15791765,66.32716948,66.44881665,66.51827671,66.58897872,67.02126553,67.46235378,
Central African Republic,37.70148798,37.75602362,37.8169753,37.88631719,37.96268894,38.04485104,38.13443368,38.23433394,38.34744892,38.4766757,38.62449631,38.80306695,39.0301696,39.30429635,39.62265219,39.98244213,40.38087117,40.81514434,41.28246662,41.78004304,42.30507859,42.85477829,43.27519675,43.69836921,44.12435556,
Canada,78.62929955,78.84147649,79.09902348,79.39138067,79.69230633,79.97606159,80.2190661,80.44256151,80.66289449,80.85918389,81.01208923,81.10314254,81.15134832,81.18343996,81.21118316,81.24656703,81.30230111,81.40189458,81.55003416,81.7363672,81.95098887,82.17792791,82.35008974,82.52505644,82.70025658,
Central Europe and the Baltics,61.4406529,61.53027767,61.58399359,61.57126837,61.57451842,61.66843767,61.75982962,61.76293282,61.87484089,61.90707561,61.98313328,62.00629955,61.97393247,61.96170311,61.96329497,61.97088776,61.9025261,61.87157566,61.81110434,61.74495265,61.63182477,61.54910995,61.59352403,61.69707903,61.79767125,
Switzerland,73.30243052,73.37629926,73.41953241,73.45187622,73.47613175,73.49510009,73.51158232,73.52837951,73.54829274,73.57412309,73.60867164,73.65058749,73.75226296,74.11213848,74.74026791,75.60449601,76.67266758,77.91262737,79.29222016,80.77929073,82.34168385,84.20064776,84.92062663,85.18542127,85.461537,
Channel Islands,30.45654257,30.49170136,30.5750453,30.71479956,30.89599884,31.10675649,31.33507708,31.56924153,31.79721921,32.00701881,32.18682291,32.32633502,32.44143346,32.54322518,32.62755953,32.69077843,32.74262597,32.78532194,32.8125992,32.8235411,32.8247185,32.81481411,32.79204391,32.7554338,32.70562112,
Chile,86.27109125,86.49063459,86.61141151,86.6792973,86.73367545,86.77682445,86.81251234,86.84450716,86.87657694,86.91248973,86.95601356,87.01091647,87.08249437,87.18277777,87.31337015,87.46533203,87.63062906,87.80002958,87.96204938,88.12736856,88.29534904,88.46605117,88.63953528,88.81586172,88.99509085,
China,36.43202347,37.65974426,39.08978271,40.53023148,41.76001358,42.98999786,44.34300995,45.88924408,46.98950577,48.34170532,49.23402706,51.83002853,53.10031128,54.49000168,55.75025558,57.32978439,58.83992386,60.24026871,61.50019836,62.70991516,63.52342303,64.72107697,65.21763611,65.5301448,65.8946981,
Cote d'Ivoire,43.0840065,43.4670149,43.85903215,44.25937442,44.66735789,45.08229874,45.50351317,45.93031734,46.36202744,46.79795965,47.23743015,47.67975513,48.12425076,48.57023322,49.01731446,49.46948947,49.92999103,50.39773097,50.87184778,51.35147998,51.83576608,52.3183462,52.84925497,53.40752016,53.97331139,
Cameroon,46.24498294,46.76275091,47.25892425,47.73255236,48.1826846,48.58378524,49.20441734,49.70270286,50.08583253,50.47141313,50.85050754,51.2229843,51.588712,51.94755919,52.29939444,52.64408631,52.98150338,53.31151421,53.63398737,53.94879141,54.25579492,54.55486645,54.84587457,55.12868785,55.40317486,
"Congo, Dem. Rep.",34.90087526,35.41535268,35.93706439,36.46546272,37,37.40187386,37.80248271,38.20178134,38.59972452,38.99626705,39.39136371,39.78496928,40.17703856,40.56752632,40.95638735,41.34357644,41.72904838,42.11275794,42.49465992,42.87470909,43.25286025,43.62906818,44.00328766,44.37547349,44.74558044,
"Congo, Rep.",58.89473803,59.44178591,59.97160669,60.46945838,60.92059902,61.31028664,61.62377926,61.85025634,62.03548157,62.21722947,62.39228711,62.55975081,62.71871691,62.86828172,63.00754156,63.13559276,63.25153165,63.35445453,63.44345775,63.51763761,63.57609045,63.61791258,63.64220033,63.66267576,63.88661117,
Colombia,74.34935702,74.79383717,75.19244436,75.53418286,75.80805695,76.0049389,76.16191919,76.31440388,76.45967618,76.59641458,76.72329757,76.83900361,76.9422112,77.03159882,77.10584494,77.16362805,77.20362664,77.22451917,77.28048166,77.45955285,77.63825335,77.83395703,78.04646331,78.27557158,78.52108119,
Comoros,28.03605122,27.99028866,27.95862671,27.94488646,27.95963002,28.01689521,28.1143216,28.24933214,28.41934981,28.62179754,28.85409829,29.11367503,29.39795069,29.70434825,30.03029066,30.37320086,30.73050182,31.09965597,31.40736452,31.72875841,32.06380722,32.41244443,32.77460355,33.15021809,33.53922157,
Cabo Verde,53.93321492,54.77621723,55.5703408,56.3297072,57.0677167,57.79776958,58.53326609,59.28760652,60.07419112,60.90642018,61.79742627,62.7419929,63.72604545,64.74862075,65.80851127,66.90450948,68.03540784,69.19999882,70.39707488,71.62542851,72.88385216,74.16079309,75.03373806,75.90642458,76.7721471,
Costa Rica,59.0462379,60.14276004,61.27876336,62.45180593,63.65960135,64.89986322,66.17030512,67.46864065,68.79258339,70.13984695,71.5081449,72.84265867,73.38950207,73.94317762,74.48669632,75.01981958,75.54230881,76.05392543,76.55443084,77.04358647,77.52115373,77.98689402,78.44056876,78.88193936,79.31076724,
Caribbean small states,51.42604171,51.41434618,51.37801859,51.30013357,51.17362468,50.94938877,50.77018574,50.59172189,50.42014408,50.26492289,50.15130145,50.12493597,50.14468184,50.15075391,50.1596535,50.1679113,50.17312988,50.17829635,50.09548172,50.06134489,50.1148273,50.12354191,50.13144487,50.10208893,50.09994257,
Cuba,75.63538361,75.88756561,75.85148911,75.86366387,75.91768166,76.00333195,76.11215311,76.23568347,76.36546138,76.49302519,76.60991325,76.7076639,76.77769201,76.81640625,76.84424591,76.87028503,76.91158295,76.96032715,77.01563263,77.07282257,77.10803223,77.09877014,77.10560608,77.12598723,77.16649292,
