Entity,Year,Greenhouse gas emissions per capita
Colombia,2022,4.585246
Colombia,2023,4.5732226
Colombia,2024,4.6946015
Costa Rica,2000,3.8999646
Costa Rica,2001,3.873619
Costa Rica,2002,4.375642
Costa Rica,2003,4.128607
Costa Rica,2004,3.0493636
Costa Rica,2005,3.0638018
Costa Rica,2006,3.2354965
Costa Rica,2007,3.7188985
Costa Rica,2008,4.3895054
Costa Rica,2009,4.38217
Costa Rica,2010,3.9912617
Costa Rica,2011,3.5473547
Costa Rica,2012,3.5861676
Costa Rica,2013,3.7415822
Costa Rica,2014,3.4776256
Costa Rica,2015,3.8028774
Costa Rica,2016,3.6349242
Costa Rica,2017,3.6638198
Costa Rica,2018,3.283227
Costa Rica,2019,3.2043831
Costa Rica,2020,2.8442268
Costa Rica,2021,2.7750092
Costa Rica,2022,2.7324953
Costa Rica,2023,2.9040008
Costa Rica,2024,2.9205217
Croatia,2000,4.009792
Croatia,2001,4.093012
Croatia,2002,4.4084115
Croatia,2003,4.6467056
Croatia,2004,4.9794807
Croatia,2005,5.0258446
Croatia,2006,5.1471953
Croatia,2007,6.5072184
Croatia,2008,5.625444
Croatia,2009,5.2698283
Croatia,2010,4.985248
Croatia,2011,5.292676
Croatia,2012,7.0362105
Croatia,2013,5.4346266
Croatia,2014,5.418615
Croatia,2015,5.611076
Croatia,2016,5.3496284
Croatia,2017,5.540383
Croatia,2018,5.4447637
Croatia,2019,5.909035
Croatia,2020,5.496335
Croatia,2021,5.4643493
Croatia,2022,5.5184655
Croatia,2023,5.784373
Croatia,2024,5.7945905
Cyprus,2000,7.57337
Cyprus,2001,7.235042
Cyprus,2002,8.24788
Cyprus,2003,8.335039
Cyprus,2004,8.730651
Cyprus,2005,8.13823
Cyprus,2006,8.218066
Cyprus,2007,8.119054
Cyprus,2008,8.417925
Cyprus,2009,7.6505976
Cyprus,2010,7.5320263
Cyprus,2011,7.122683
Cyprus,2012,6.401313
Cyprus,2013,5.68626
Cyprus,2014,6.780235
Cyprus,2015,6.1357446
Cyprus,2016,6.846011
Cyprus,2017,7.0873337
Cyprus,2018,6.711197
Cyprus,2019,6.969747
Cyprus,2020,6.5804005
Cyprus,2021,6.6176724
Cyprus,2022,6.7444196
Cyprus,2023,6.9307976
Cyprus,2024,6.989144
Czech Republic,2000,14.562798
Czech Republic,2001,13.906498
Czech Republic,2002,13.464695
Czech Republic,2003,13.81832
Czech Republic,2004,13.927337
Czech Republic,2005,13.593828
Czech Republic,2006,13.795614
Czech Republic,2007,13.992698
Czech Republic,2008,13.445666
Czech Republic,2009,12.62286
Czech Republic,2010,12.964781
Czech Republic,2011,12.8532505
Czech Republic,2012,12.5735235
Czech Republic,2013,12.206899
Czech Republic,2014,12.144978
Czech Republic,2015,12.517965
Czech Republic,2016,12.344278
Czech Republic,2017,12.066629
Czech Republic,2018,11.66415
Czech Republic,2019,11.011692
Czech Republic,2020,9.9083605
Czech Republic,2021,10.37015
Czech Republic,2022,9.975527
Czech Republic,2023,8.607144
Czech Republic,2024,7.865944
Denmark,2000,13.147242
Denmark,2001,13.288099
Denmark,2002,13.048924
Denmark,2003,14.018934
Denmark,2004,13.3749695
Denmark,2005,12.575658
Denmark,2006,13.707335
Denmark,2007,13.136428
Denmark,2008,12.357999
Denmark,2009,11.731096
Denmark,2010,12.422859
Denmark,2011,10.852825
Denmark,2012,10.090063
Denmark,2013,10.691686
Denmark,2014,9.603664
Denmark,2015,9.321998
Denmark,2016,9.60358
Denmark,2017,9.281949
Denmark,2018,9.117635
Denmark,2019,8.444138
Denmark,2020,7.9674115
Denmark,2021,8.216041
Denmark,2022,7.9263983
Denmark,2023,7.841535
Denmark,2024,7.6854186
Estonia,2000,11.037054
Estonia,2001,10.832623
Estonia,2002,12.271433
Estonia,2003,12.6631775
Estonia,2004,16.273813
Estonia,2005,14.386972
Estonia,2006,14.099479
Estonia,2007,16.378475
Estonia,2008,15.477289
Estonia,2009,13.795679
Estonia,2010,16.909615
Estonia,2011,16.868443
Estonia,2012,16.53657
Estonia,2013,18.073927
Estonia,2014,18.118221
Estonia,2015,16.075323
Estonia,2016,16.648096
Estonia,2017,17.808355
Estonia,2018,17.406176
Estonia,2019,12.923767
Estonia,2020,9.88439
Estonia,2021,10.8116865
Estonia,2022,11.92178
Estonia,2023,9.491192
Estonia,2024,8.905476
Finland,2000,17.333225
Finland,2001,18.65804
Finland,2002,19.392115
Finland,2003,21.02401
Finland,2004,20.407204
Finland,2005,18.105394
Finland,2006,20.051798
Finland,2007,19.987242
Finland,2008,18.248224
Finland,2009,17.01244
Finland,2010,18.881893
Finland,2011,17.206057
Finland,2012,16.20722
Finland,2013,16.35987
Finland,2014,15.762426
Finland,2015,15.298284
Finland,2016,16.126175
Finland,2017,16.141853
Finland,2018,16.736113
Finland,2019,16.441055
Finland,2020,15.491787
Finland,2021,16.21954
Finland,2022,16.166605
Finland,2023,15.680034
Finland,2024,15.657763
France,2000,8.121734
France,2001,7.9898934
France,2002,7.8079276
France,2003,7.849571
France,2004,7.8124804
France,2005,7.755881
France,2006,7.5173883
France,2007,7.3349915
France,2008,7.204968
France,2009,6.863278
France,2010,6.9843516
France,2011,6.5553303
France,2012,6.648448
France,2013,6.7202945
France,2014,6.212733
France,2015,6.2800193
France,2016,6.3334684
France,2017,6.5546746
France,2018,6.093496
France,2019,6.2848086
France,2020,5.51999
France,2021,5.8653336
France,2022,5.5796227
France,2023,5.194772
France,2024,5.077144
Germany,2000,12.742614
Germany,2001,12.85437
Germany,2002,12.600259
Germany,2003,12.512374
Germany,2004,12.269499
Germany,2005,12.118547
Germany,2006,12.363325
Germany,2007,11.963945
Germany,2008,12.06988
Germany,2009,11.191726
Germany,2010,11.682602
Germany,2011,11.341653
Germany,2012,11.473138
Germany,2013,11.674936
Germany,2014,11.129788
Germany,2015,11.100986
Germany,2016,10.961531
Germany,2017,10.728351
Germany,2018,10.306224
Germany,2019,9.669801
Germany,2020,8.894269
Germany,2021,9.256749
Germany,2022,9.035898
Germany,2023,8.084843
Germany,2024,7.8017473
Greece,2000,11.242639
Greece,2001,11.2908945
Greece,2002,11.22005
Greece,2003,11.473679
Greece,2004,11.542595
Greece,2005,11.836353
Greece,2006,11.63477
Greece,2007,11.844823
Greece,2008,11.481391
Greece,2009,10.865746
Greece,2010,10.1304865
Greece,2011,9.850415
Greece,2012,9.551215
Greece,2013,8.29882
Greece,2014,8.128457
Greece,2015,7.643419
Greece,2016,7.169274
Greece,2017,7.4676604
Greece,2018,8.196105
Greece,2019,6.54465
Greece,2020,5.7839236
Greece,2021,5.996829
Greece,2022,5.987471
Greece,2023,5.4645767
Greece,2024,5.651658
Hungary,2000,7.150676
Hungary,2001,7.292206
Hungary,2002,7.208946
Hungary,2003,7.54164
Hungary,2004,7.425853
Hungary,2005,7.453205
Hungary,2006,7.411686
Hungary,2007,7.2746553
Hungary,2008,7.0797706
Hungary,2009,6.1942024
Hungary,2010,6.207316
Hungary,2011,6.114889
Hungary,2012,5.7072706
Hungary,2013,5.504764
Hungary,2014,5.556378
Hungary,2015,5.94119
Hungary,2016,6.0324554
Hungary,2017,6.2529964
Hungary,2018,6.2406054
Hungary,2019,5.7884297
Hungary,2020,6.1365004
Hungary,2021,6.1973343
Hungary,2022,5.5893598
Hungary,2023,5.022878
Hungary,2024,4.90974
Iceland,2000,14.890208
Iceland,2001,14.351571
Iceland,2002,14.639382
Iceland,2003,14.444048
Iceland,2004,14.741793
Iceland,2005,14.387255
Iceland,2006,14.459282
Iceland,2007,15.1470995
Iceland,2008,15.930836
Iceland,2009,15.357508
Iceland,2010,17.672693
Iceland,2011,14.726578
Iceland,2012,14.743044
Iceland,2013,14.437352
Iceland,2014,14.263431
Iceland,2015,14.517785
Iceland,2016,14.23291
Iceland,2017,14.464961
Iceland,2018,14.221003
Iceland,2019,13.529562
Iceland,2020,12.588713
Iceland,2021,12.798046
Iceland,2022,12.835325
Iceland,2023,12.322463
Iceland,2024,12.853874
India,2000,1.8960602
India,2001,1.8557158
India,2002,1.8167312
India,2003,1.844153
India,2004,1.8743116
India,2005,1.9099836
India,2006,1.9819561
India,2007,2.0876157
India,2008,2.1866574
India,2009,2.2341857
India,2010,2.290449
India,2011,2.3392677
India,2012,2.474445
India,2013,2.411407
India,2014,2.4513626
India,2015,2.4776824
India,2016,2.503832
India,2017,2.5123892
India,2018,2.630617
India,2019,2.601096
India,2020,2.4500115
India,2021,2.614627
India,2022,2.71498
India,2023,2.8659418
India,2024,2.9376976
Indonesia,2000,5.7882543
Indonesia,2001,5.3314123
Indonesia,2002,6.6742363
Indonesia,2003,5.1621323
Indonesia,2004,5.6513157
Indonesia,2005,5.273864
Indonesia,2006,7.9459968
Indonesia,2007,5.7205143
Indonesia,2008,6.1758027
Indonesia,2009,7.6273103
Indonesia,2010,6.6950216
Indonesia,2011,7.342454
Indonesia,2012,7.6157236
Indonesia,2013,7.7325153
Indonesia,2014,8.282384
Indonesia,2015,10.010642
Indonesia,2016,6.6165133
Indonesia,2017,6.4529076
Indonesia,2018,6.7168303
Indonesia,2019,7.7577305
Indonesia,2020,6.278523
Indonesia,2021,6.3736067
Indonesia,2022,6.499261
Indonesia,2023,6.9022613
Indonesia,2024,6.711167
Ireland,2000,21.459875
Ireland,2001,22.156181
Ireland,2002,21.151129
Ireland,2003,20.478779
Ireland,2004,19.860088
Ireland,2005,19.692581
Ireland,2006,18.862724
Ireland,2007,21.12914
Ireland,2008,18.682592
Ireland,2009,16.87769
Ireland,2010,16.159246
Ireland,2011,15.186555
Ireland,2012,15.001728
Ireland,2013,14.529098
Ireland,2014,14.203409
Ireland,2015,14.8803625
Ireland,2016,15.395819
Ireland,2017,14.964099
Ireland,2018,14.232858
Ireland,2019,13.532323
Ireland,2020,12.625786
Ireland,2021,13.176505
Ireland,2022,12.538186
Ireland,2023,11.646695
Ireland,2024,11.456779
Israel,2000,11.083878
Israel,2001,11.4369545
Israel,2002,10.633005
Israel,2003,10.879233
Israel,2004,10.1426525
Israel,2005,9.612484
Israel,2006,10.34736
Israel,2007,10.290263
Israel,2008,10.8239565
Israel,2009,10.033542
Israel,2010,10.515125
Israel,2011,10.438265
Israel,2012,11.065605
Israel,2013,9.427901
Israel,2014,8.867638
Israel,2015,9.033022
Israel,2016,8.957923
Israel,2017,8.411858
Israel,2018,8.349924
Israel,2019,8.066496
Israel,2020,7.9684386
Israel,2021,7.823769
Israel,2022,8.066577
Israel,2023,7.205275
Israel,2024,6.8340044
Italy,2000,9.402106
Italy,2001,9.250894
Italy,2002,9.308568
Italy,2003,9.62052
Italy,2004,9.567769
Italy,2005,9.472052
Italy,2006,9.205094
Italy,2007,9.3202
Italy,2008,8.872359
Italy,2009,8.009364
Italy,2010,8.05067
Italy,2011,7.8863745
Italy,2012,7.3428707
Italy,2013,6.800164
Italy,2014,6.4135337
Italy,2015,6.6676574
Italy,2016,6.649139
Italy,2017,6.5399985
Italy,2018,6.7827578
Italy,2019,6.554735
Italy,2020,5.8636355
Italy,2021,6.6672764
Italy,2022,6.6759105
Italy,2023,6.1794767
Italy,2024,5.9985695
Japan,2000,10.398433
Japan,2001,10.186769
Japan,2002,10.358605
Japan,2003,10.396667
Japan,2004,10.329192
Japan,2005,10.3974285
Japan,2006,10.183156
Japan,2007,10.475248
Japan,2008,9.903308
Japan,2009,9.309806
Japan,2010,9.718965
Japan,2011,10.173476
Japan,2012,10.512047
Japan,2013,10.577604
Japan,2014,10.198058
Japan,2015,9.897274
Japan,2016,9.746991
Japan,2017,9.668892
Japan,2018,9.324918
Japan,2019,9.016868
Japan,2020,8.555534
Japan,2021,8.794621
Japan,2022,8.623074
Japan,2023,8.296482
Japan,2024,8.13846
Jordan,2000,3.4345114
Jordan,2001,3.487691
Jordan,2002,3.589188
Jordan,2003,3.7386088
Jordan,2004,3.889736
Jordan,2005,4.1426115
Jordan,2006,3.8156111
Jordan,2007,3.8228085
Jordan,2008,3.8107631
Jordan,2009,3.7154527
Jordan,2010,3.584273
Jordan,2011,3.701512
Jordan,2012,4.01671
Jordan,2013,3.8182545
Jordan,2014,3.7139928
Jordan,2015,3.4173057
Jordan,2016,3.146006
Jordan,2017,3.221494
Jordan,2018,3.1132438
Jordan,2019,2.9527307
Jordan,2020,2.5304263
Jordan,2021,2.6007233
Jordan,2022,2.6670299
Jordan,2023,2.6952643
Jordan,2024,2.6863666
Latvia,2000,2.282909
Latvia,2001,2.9830196
Latvia,2002,2.9480476
Latvia,2003,4.502717
Latvia,2004,6.6058702
Latvia,2005,7.824294
Latvia,2006,6.294036
Latvia,2007,6.10137
Latvia,2008,5.822376
Latvia,2009,5.531889
Latvia,2010,6.2597723
Latvia,2011,6.462929
