region_country,year,code,Greenhouse gas emissions per capita,population,electricity_generation,Urban_pct,ev_sales,ev_sales_log,population_log,electricity_generation_log,electricity_per_capita,ev_sales_share,expected_ev_sales_log,adoption_gap_log,expected_ev_sales,adoption_gap_sales
Estonia,2024,EST,8.905476,1360548,6.260000229,70.69811615,2600.0,7.8636512654486515,14.123398852727396,1.982379860379404,4.601087377292091e-06,10.0,8.043315892746591,-0.17966462729793964,3111.9181986101926,-511.9181986101926
Turkiye,2024,TUR,7.7738886,87473800,341.230011,89.34431229,105700.0,11.568369632551514,18.286849889350723,5.835483057787994,3.900939607059485e-06,11.0,11.78532897340483,-0.21695934085331636,131310.6748108749,-25610.674810874887
Spain,2024,ESP,5.7417855,47910533,280.9400024,80.31519982,128000.0,11.759793355371237,17.68484595469575,5.641694290855229,5.863846315381213e-06,11.0,12.055574942923386,-0.295781587552149,172054.94128118013,-44054.94128118013
Croatia,2024,HRV,5.7945905,3875325,15.28999996,57.51589817,3200.0,8.071218539969863,15.170140346263194,2.7905514201584594,3.945475530439382e-06,4.9,8.388003439432282,-0.3167848994624194,4393.035971574311,-1193.0359715743107
USA,2024,USA,17.527048,345426566,4391.02002,80.1247798,1520000.0,14.23422155071698,19.660290637337333,8.387544541466774,1.2711877001376901e-05,10.0,14.603538880353312,-0.369317329636333,2199055.318906478,-679055.3189064781
Israel,2024,ISR,6.8340044,9387015,80.40000153,91.53618884,76400.0,11.243751064074187,16.054838015802602,4.399375291804564,8.565023229429163e-06,21.0,11.614467440285352,-0.37071637621116516,110686.63789016395,-34286.637890163955
Cyprus,2024,CYP,6.989144,1358287,5.789999962,66.68242592,1860.0,7.528869256642251,14.12173564119893,1.9154509359741394,4.26272206242127e-06,12.0,7.94835140122575,-0.4194821445834993,2829.904076343453,-969.9040763434532
Canada,2024,CAN,20.198366,39742429,636.789978,82.70025658,252000.0,12.437188334739655,17.497929940676997,6.4580090410627236,1.6022925473427907e-05,17.0,12.972450822288806,-0.5352624875491507,430390.6221127346,-178390.6221127346
Switzerland,2024,CHE,4.49567,8921979,78.37000275,85.461537,67000.0,11.112462823634855,16.00402845301798,4.374120497750635,8.783925937283644e-06,28.0,11.653999277563116,-0.541536453928261,115149.96407602569,-48149.96407602569
Finland,2024,FIN,15.657763,5617311,82.55000305,74.26371905,37000.0,10.518700218288165,15.541363815636911,4.425445291546489,1.4695644063502982e-05,50.0,11.149088610487183,-0.6303883921990181,69499.4572374379,-32499.457237437906
Slovenia,2024,SVN,8.547228,2118692,16.70999908,55.75777084,4300.0,8.366602832783736,14.566309947094148,2.874129399846689,7.886941131603839e-06,8.1,9.072611055216157,-0.7060082224324216,8712.345154773437,-4412.345154773437
Greece,2024,GRC,5.651658,10047813,57.08000183,78.99678565,17000.0,9.741027444837728,16.122865656372287,4.061821402024805,5.6808383904039615e-06,12.0,10.548682685922131,-0.8076552410844027,38126.179745283065,-21126.179745283065
Malaysia,2024,MYS,10.931114,35557670,198.1199951,76.91702966,27300.0,10.214678610538817,17.386666471526958,5.2939076334510595,5.571793514591929e-06,3.6,11.157065901841861,-0.942387291303044,70056.09993265667,-42756.09993265667
New Zealand,2024,NZL,15.712585,5213942,44.00999832,83.93706588,9700.0,9.179984251961283,15.46684694130996,3.8068846499798017,8.4408300514275e-06,11.0,10.13500234947935,-0.9550180975180673,25209.15956209203,-15509.15956209203
Czech Republic,2024,CZE,7.865944,10735857,72.80999756,72.79479846,15800.0,9.6678285081515,16.18909991157856,4.301494190724109,6.781945545660677e-06,6.8,10.645948885676148,-0.9781203775246485,42021.013280095154,-26221.013280095154
Slovakia,2024,SVK,3.5832222,5506759,29.52000046,53.1919703,4400.0,8.38958706681109,15.521486986397903,3.41838222148834,5.360685016358987e-06,4.8,9.386593141338835,-0.9970060745277447,11926.395085558024,-7526.395085558024
Mexico,2024,MEX,4.857969,130861001,355.1799927,79.7538806,27100.0,10.207325906555994,18.68964626441461,5.875436200552604,2.7141775623434214e-06,2.2,11.342172610794137,-1.134846704238143,84301.98990461408,-57201.98990461408
Sweden,2024,SWE,5.3694525,10606993,172.1499939,88.85597483,157000.0,11.964007453736912,16.177024152823265,5.15415823561886,1.6229858349109874e-05,58.0,13.168112795207776,-1.2041053414708642,523405.0328109966,-366405.0328109966
Korea,2024,KOR,12.192497,51717587,625.3800049,81.16825285,127900.0,11.759011806144656,17.761308475049592,6.439957223509392,1.2092211589454086e-05,9.2,13.209855355619084,-1.4508435494744276,545715.7545813076,-417815.75458130764
Norway,2024,NOR,10.075698,5576656,157.1100006,83.32937379,113500.0,11.63956692643747,15.534100050880363,5.06329099711688,2.8172797569009098e-05,92.0,13.259100335126618,-1.6195334086891489,573262.2619519104,-459762.26195191045
Japan,2024,JPN,8.13846,123753041,1016.390015,92.1901718,103000.0,11.542493975902508,18.633798540929128,6.9249958181081475,8.213050821110731e-06,2.8,13.78517286506758,-2.242678889165072,970116.8763120743,-867116.8763120743
Russia,2024,RUS,18.845648,144820421,1209.310059,75.11191362,32600.0,10.392098241730961,18.791005063882864,7.0986318528725425,8.350411155067694e-06,2.9,12.637849703225925,-2.2457514614949634,307997.3495156479,-275397.3495156479
Chile,2024,CHL,5.2821336,19764774,88.62000275,88.99509085,5600.0,8.630700432209832,16.799411870888957,4.495578540043112,4.483734686265575e-06,2.1,10.933334374108313,-2.302633941898481,56011.73609396444,-50411.73609396444
Bulgaria,2024,BGR,5.9598427,6757686,38.29999924,73.94993569,2170.0,7.682943169878292,15.726191229705826,3.671224499536793,5.667620431017363e-06,5.0,10.037353801923814,-2.3544106320455223,22863.79800763309,-20693.79800763309
