region_country,year,code,Greenhouse gas emissions per capita,population,electricity_generation,Urban_pct,ev_sales,ev_sales_log,population_log,electricity_generation_log,electricity_per_capita,ev_sales_share
Poland,2024,POL,8.623619,38539209,172.1199951,59.97054687,32000.0,10.373522431293592,17.467186722556697,5.15398496735405,4.466100876642279e-06,5.7
Portugal,2024,PRT,5.1978517,10425291,47.27000046,61.32819073,70000.0,11.156264806643742,16.159745334849205,3.87681025920213,4.534166044861481e-06,33.0
Romania,2024,ROU,4.747173,19015096,52.72000122,52.16747789,9800.0,9.19023970026918,16.76074380056735,3.9837853943653867,2.7725340550476317e-06,6.5
Russia,2024,RUS,18.845648,144820421,1209.310059,75.11191362,32600.0,10.392098241730961,18.791005063882864,7.0986318528725425,8.350411155067694e-06,2.9
Slovakia,2024,SVK,3.5832222,5506759,29.52000046,53.1919703,4400.0,8.38958706681109,15.521486986397903,3.41838222148834,5.360685016358987e-06,4.8
Slovenia,2024,SVN,8.547228,2118692,16.70999908,55.75777084,4300.0,8.366602832783736,14.566309947094148,2.874129399846689,7.886941131603839e-06,8.1
South Africa,2024,ZAF,8.479182,64007187,247.5200043,63.69179849,1940.0,7.57095858316901,17.97450594751737,5.515523342497923,3.867065807781867e-06,0.61
Spain,2024,ESP,5.7417855,47910533,280.9400024,80.31519982,128000.0,11.759793355371237,17.68484595469575,5.641694290855229,5.863846315381213e-06,11.0
Sweden,2024,SWE,5.3694525,10606993,172.1499939,88.85597483,157000.0,11.964007453736912,16.177024152823265,5.15415823561886,1.6229858349109874e-05,58.0
Switzerland,2024,CHE,4.49567,8921979,78.37000275,85.461537,67000.0,11.112462823634855,16.00402845301798,4.374120497750635,8.783925937283644e-06,28.0
Thailand,2024,THA,6.3726296,71668010,199.5200043,61.86893384,80400.0,11.294781892900653,18.08755505538743,5.300914013839548,2.7839478771630467e-06,13.0
Turkiye,2024,TUR,7.7738886,87473800,341.230011,89.34431229,105700.0,11.568369632551514,18.286849889350723,5.835483057787994,3.900939607059485e-06,11.0
USA,2024,USA,17.527048,345426566,4391.02002,80.1247798,1520000.0,14.23422155071698,19.660290637337333,8.387544541466774,1.2711877001376901e-05,10.0
United Kingdom,2024,GBR,5.6448607,69138185,284.1600037,83.24295444,550000.0,13.217675375388819,18.05161775549222,5.653050439224599,4.110029843855461e-06,28.0
Uzbekistan,2024,UZB,5.7250333,36361859,81.5,50.99866867,22600.0,10.025749432069084,17.409030981080686,4.412798293340635,2.2413595520515056e-06,5.0
